Name,Type,Skills,Bio,File_name
Ekko ,Assassin Fighter,"['Z-Drive Resonance', 'Timewinder', 'Parallel Convergence', 'Phase Dive', 'Chronobreak']","Ekko doesn't need magical powers to look like a star. He rocks an effortless streetwear style wherever he goes, turning heads and paparazzi lenses alike. Appreciating the look? Take it all in. He's got time.",ekko_image.png
Elise ,Mage Fighter,"['Spider Queen', 'Neurotoxin', 'Volatile Spiderling', 'Cocoon', 'Venomous Bite', 'Skittering Frenzy', 'Rappel', 'Spider Form / Human Form']","Elise is in attendance at every annual gala, despite never once receiving a formal invitation. Rumor has it she's been blacklisted for spinning webs of lies, forming and disbanding allegiances in the span of a single evening. Attendees have also noted her suitors never seem to make a return visit to the festival.",elise_image.png
Evelynn ,Assassin Mage,"['Demon Shade', 'Hate Spike', 'Allure', 'Whiplash', 'Empowered Whiplash', 'Last Caress']","Come. Leave your flesh behind and pass into the Spirit World. Bring with you only your desires, your vices, your painful memories. Let the Spirit of Love feed on these unwanted temptations, for her hunger is ravenous. Evelynn will show you peace at last.",evelynn_image.png
Ezreal ,Marksman Mage,"['Rising Spell Force', 'Mystic Shot', 'Essence Flux', 'Arcane Shift', 'Trueshot Barrage']","After accidentally unleashing an ancient evil sorceress while doing research in the university archive, Ezreal narrowly escaped certain death when Lux and the spirit of the Tiger Relic stepped in to save him. Though he is new to the world of magic, Ezreal has joined the Protectors— determined to help solve the problem he (inadvertently) caused.",ezreal_image.png
Fiddlesticks ,Mage Support,"['A Harmless Scarecrow', 'Terrify', 'Bountiful Harvest', 'Reap', 'Crowstorm']","The creature known as Fiddlesticks has fed on Star Guardians across every era, hunting those on the verge of falling before finally consuming their light. Its connection to the Guardians, and the reason it is drawn to them, is not well understood... but the familiar seemingly trapped within it suggests a truly disturbing origin.",fiddlesticks_image.png
Fiora ,Fighter Assassin,"[""Duelist's Dance"", 'Lunge', 'Riposte', 'Bladework', 'Grand Challenge']",Fiora is tired of Nami crashing the party every year. She's determined that apple bobbing takes a back seat to tests of true skill—like seeing who can eat the most candy.,fiora_image.png
Fizz ,Assassin Fighter,"['Nimble Fighter', 'Urchin Strike', 'Seastone Trident', 'Playful', 'Trickster', 'Chum the Waters']","There's something deeply unnerving about a bipedal Cocker Spaniel mix running around society unchecked, stabbing pedestrians with a tennis ball grabber, and summoning other, bigger dogs out of the ground. And yet, here we all are. Together.",fizz_image.png
Galio ,Tank Mage,"['Colossal Smash', 'Winds of War', 'Shield of Durand', 'Justice Punch', ""Hero's Entrance""]","A great dragon of old, who protected dragonkind's ancestral nesting grounds from those who might do it harm. Tricked by the mad knight Kayle so she could destroy every clutch of eggs under his charge, he has followed her back to human society, so he might exact his vengeance personally.",galio_image.png
Gangplank ,Fighter,"['Trial by Fire', 'Parrrley', 'Remove Scurvy', 'Powder Keg', 'Cannon Barrage']","Energized by a mysterious amulet containing Viego of Camavor and wielding the Blade of the Ruined King, Gangplank's personality erupted as he raged in search of the long-lost Isolde. Though ultimately freed of the King's influence by a group of heroes, he carries the experience with him... a reminder, perhaps, of true power.",gangplank_image.png
Garen ,Fighter Tank,"['Perseverance', 'Decisive Strike', 'Courage', 'Judgment', 'Demacian Justice']","'Brother' to Lux, Garen is the only biological child of his family, but was neglected from an early age as his parents spent all their time developing the god-weapon fragment that would one day become their daughter. As he vented his anger in increasingly delinquent ways, Labrys sought him out for enrollment, where he eventually joined the Battle Club.",garen_image.png
Gnar ,Fighter Tank,"['Rage Gene', 'Mini Gnar', 'Boomerang Throw', 'Hyper', 'Hop', 'Mega Gnar', 'Boulder Toss', 'Wallop', 'Crunch', 'GNAR!']","Stories have long been told of a monster that stalks the wood, rending massive oak trees asunder bare-handed—but few realize this titan is also the small, curious creature that collects baubles and bones and chitters through the treetops. The wise leave both to their devices. The foolish? Well, it depends which Gnar they meet.",gnar_image.png
Gragas ,Fighter Mage,"['Happy Hour', 'Barrel Roll', 'Drunken Rage', 'Body Slam', 'Explosive Cask']","The King of Cool, Gragas is one guy who knows how to party. Bringing the funk with him everywhere he goes, even the denizens of Boogiewonderland acknowledge his prowess for groovin'. If Gragas rolls up to the disco, you know you're in for a wild night.",gragas_image.png
Graves ,Marksman,"['New Destiny', 'End of the Line', 'Smoke Screen', 'Quickdraw', 'Collateral Damage']",Honoring Flandre's winning performance as Graves during the 2021 World Championship.,graves_image.png
Gwen ,Fighter Assassin,"['Thousand Cuts', 'Snip Snip!', 'Hallowed Mist', ""Skip 'n Slash"", 'Needlework']","Gwen is the friendly face of customer service for the cafe, always there to welcome patrons with a smile and an immaculately-plated pastry. Don't be fooled, though—she isn't afraid to use her candy-cutting shears for other things when rogue customers threaten her friends.",gwen_image.png
Hecarim ,Fighter Tank,"['Warpath', 'Rampage', 'Spirit of Dread', 'Devastating Charge', 'Onslaught of Shadows']","Enforcer of the Higher World, his ever-forward motion crushes those before him while carving new fates for those left in his wake. He seeks to stop Rakan of the Lower World and prevent the calamitous disaster that will result from a fated love blooming betwixt the stars.",hecarim_image.png
Heimerdinger ,Mage Support,"['Hextech Affinity', 'H-28G Evolution Turret', 'H-28Q Apex Turret', 'Hextech Micro-Rockets', 'Hextech Rocket Swarm', 'CH-2 Electron Storm Grenade', 'CH-3X Lightning Grenade', 'UPGRADE!!!']",Now isn't he just the buzziest little worker bee?,heimerdinger_image.png
Illaoi ,Fighter Tank,"['Prophet of an Elder God', 'Tentacle Smash', 'Harsh Lesson', 'Test of Spirit', 'Leap of Faith']","Illaoi, the High Priestess of the Snow Moon, imagines a world free of the madness that consumes it. Her vision can only be realized when every soul is cleansed, every demon ripped from its bindings. Maintaining order with an icy resolve, she'll stop at nothing, her own humanity a fleeting memory.",illaoi_image.png
Irelia ,Fighter Assassin,"['Ionian Fervor', 'Bladesurge', 'Defiant Dance', 'Flawless Duet', ""Vanguard's Edge""]","There are moments when Irelia and the other outcasts remember who they once were, before PROJECT exiled them into a wasteland filled with sand-blasted monuments to corporate greed. These memories are fleeting, the last flickering images of a long-compromised humanity.",irelia_image.png
Ivern ,Support Mage,"['Friend of the Forest', 'Rootcaller', 'Brushmaker', 'Triggerseed', 'Daisy!']","A nightmarish totem forged of witchcraft and forbidden incantations, Ivern stood among the Old Gods in the days before their destruction. Left inert for hundreds of years, he has risen along with his brethren to annihilate the paltry works of man.",ivern_image.png
Janna ,Support Mage,"['Tailwind', 'Howling Gale', 'Zephyr', 'Eye of the Storm', 'Monsoon']","Always a breath of fresh air in the fashion world, Janna took a risk working with a new designer for her high-tech red carpet look. That risk was well worth it: the future of fashion is here, and it's looking bright.",janna_image.png
Jarvan IV ,Tank Fighter,"['Martial Cadence', 'Dragon Strike', 'Golden Aegis', 'Demacian Standard', 'Cataclysm']",Celebrating Worlds 2021 in Reykjavík.,jarvan-iv_image.png
Jax ,Fighter Assassin,"['Relentless Assault', 'Leap Strike', 'Empower', 'Counter Strike', ""Grandmaster's Might""]","Hailing from a realm where he failed to protect his kingdom from annihilation, Jax was content to live in exile, until everything collapsed. Now an Empyrean, he knows that somewhere out there his kingdom is still intact. Even if it destroys him, he'll use all of his power to see his home one more time.",jax_image.png
Jayce ,Fighter Marksman,"['Hextech Capacitor', 'To the Skies!', 'Lightning Field', 'Thundering Blow', 'Transform Mercury Cannon', 'Hextech Capacitor', 'Shock Blast', 'Hyper Charge', 'Acceleration Gate', 'Transform Mercury Hammer']","Jayce invented Hammerjack as a showcase sport for humanity's new augmented abilities. Nothing else tested athletes across so many directions and terrain, and with this being its first year in the Zenith Games, he intends to show everyone what THE sport of the 22nd century looks like.",jayce_image.png
Jhin ,Marksman Mage,"['Basic Attack', 'Whisper', 'Dancing Grenade', 'Deadly Flourish', 'Captive Audience', 'Curtain Call']","Jhin woke as an Empyrean with a sensation he'd never known before: true warmth. Exhilarated by the power, he set innocents ablaze with a flick of his hand. Finally, a muse worthy of him! The realization that “she” is slowly killing him only charms him more. Now if only he could find her source…",jhin_image.png
Jinx ,Marksman,"['Get Excited!', 'Switcheroo!', 'Zap!', 'Flame Chompers!', 'Super Mega Death Rocket!']","Unleashed and brandishing an arsenal of squid-stomping explosives strong enough to knock over a Primordian warship, Jinx has the enemy right in her claws. With this Battle Cat on the prowl? The war is as good as over.",jinx_image.png
K'Sante ,Tank Fighter,"['Dauntless Instinct', 'Ntofo Strikes', 'Path Maker', 'Footwork', 'All Out']","K'Sante's always been a trailblazer on the fashion circuit, and this year he definitely wants to make the audience sweat. With his crystal-laden drip and flawless makeup, he's about to light a fire under this Gala.",k-sante_image.png
Kai'Sa ,Marksman,"['Second Skin', 'Icathian Rain', 'Void Seeker', 'Supercharge', 'Killer Instinct']","A born leader with a head for tactics, Kai'Sa takes her job as captain extremely seriously... perhaps too much for her own good. Still, her squad respects her command and will follow her into even the most dangerous missions, where she'll snipe priority targets and spray the rest with payloads of starlight-powered missiles.",kai-sa_image.png
Kalista ,Marksman,"['Basic Attack', 'Martial Poise', 'Pierce', 'Sentinel', 'Rend', ""Fate's Call""]","The Magelords… furious, brutal, and glorious in their conquest—a sect of warriors long lost to the sands of time. Until now. Resurrected by the current Marauder leaders, Kalista's desire for vengeance has only festered over the millenia. Now she returns, more powerful than ever, to eradicate the Wardens and everything they've built.",kalista_image.png
Karma ,Mage Support,"['Gathering Fire', 'Inner Flame', 'Soulflare', 'Focused Resolve', 'Renewal', 'Inspire', 'Defiance', 'Mantra']","As Brand's corruption spread, Karma sought the power to restore peace. When her desperate search throughout the land failed, Karma was left with nowhere left to look but within. After months of quiet contemplation, the fabled Tranquility Dragon greeted her in a vision. She awoke with the dragon's gift, the power to bring tranquil peace to face Brand's raging violence.",karma_image.png
Karthus ,Mage,"['Death Defied', 'Lay Waste', 'Wall of Pain', 'Defile', 'Requiem']","All hail, Karthus, the Voice of Doom, and Chosen of Perpetuum! His songs are bleak murder ballads, a bitter reminder that all things must die. Though, perhaps, not him?",karthus_image.png
Kassadin ,Assassin Mage,"['Void Stone', 'Null Sphere', 'Nether Blade', 'Force Pulse', 'Riftwalk']","As high priest of the Shockblade order, Kassadin has a deep connection to the Storm few understand, but all respect. It is the power of his station that allows the Shockblades to follow their targets in and out of the spirit realm, going where no one else can to protect the people under their charge.",kassadin_image.png
Katarina ,Assassin Mage,"['Voracity', 'Bouncing Blade', 'Preparation', 'Shunpo', 'Death Lotus']","“My people got swindled. I aim to collect what we're owed,” the Outsider says, pinning her dagger in a wanted poster of the Mechanical Devil. Her eyes burn like stoked coal as she fixes each dusty traveler in her gaze, “And I hear y'all plan on jumpin' the Sulfur Rail, Harbingers. If you're gonna take this devil down, I want in.”",katarina_image.png
Kayle ,Fighter Support,"['Divine Ascent', 'Radiant Blast', 'Celestial Blessing', 'Starfire Spellblade', 'Divine Judgment']","The hated sun-eater, Kayle wished to be one with the divine she loved, devouring the primordial sun and steeping the land in an eternal eclipse. Driven mad with light and unable to contain her power, she passed fragments down to an army of witch-knights, who slew the other gods in an act of unforgivable blasphemy.",kayle_image.png
Kayn ,Fighter Assassin,"['The Darkin Scythe', 'Reaping Slash', ""Blade's Reach"", 'Shadow Step', 'Umbral Trespass']","The communion was nearly complete. Kayn could feel the Blood Moon demon writhing within. It was then that the Snow Moon assassins struck. Stolen away from that temple into theirs, Kayn was inducted into the Snow Moon Order, their ancient ways piercing and unfamiliar. Only time will tell if their taming of his spirit holds.",kayn_image.png
Kennen ,Mage Marksman,"['Mark of the Storm', 'Thundering Shuriken', 'Electrical Surge', 'Lightning Rush', 'Slicing Maelstrom']",Honoring Nuguri's winning performance as Kennen during the 2020 World Championship.,kennen_image.png
Kha'Zix ,Assassin,"['Unseen Threat', 'Taste Their Fear', 'Evolved Reaper Claws', 'Void Spike', 'Evolved Spike Racks', 'Leap', 'Evolved Wings', 'Void Assault', 'Evolved Adaptive Cloaking']","A member of an elite bounty hunting organization, Kha'zix is cold, ruthless and always gets the job done. Though hired by Karma to track down the missing templars, she doesn't realize that Kha'zix is a double agent secretly working for Aatrox to bring Karma to him.",kha-zix_image.png
Kindred ,Marksman,"['Mark of the Kindred', 'Dance of Arrows', ""Wolf's Frenzy"", 'Mounting Dread', ""Lamb's Respite""]","Once a skilled hunter and her fierce hound, the two were so bonded that their souls remained together when they were preserved inside the Dog Zodiac Relic. Now they are two halves of a whole, mentoring generations of Protectors like Lux and Amumu and standing guard eternally over the ancient magic that keeps them alive.",kindred_image.png
Kled ,Fighter Tank,"['Skaarl, the Cowardly Lizard', 'Bear Trap on a Rope', 'Violent Tendencies', 'Jousting', 'Chaaaaaaaarge!!!', 'Unmounted', 'Pocket Pistol', 'Violent Tendencies', 'Jousting', 'Chaaaaaaaarge!!!']","Throughout history, the Marauders have balanced on the knife's edge between brutality and cunning. General Kled, one half of the pair that currently leads the regime, is truly the incarnation of their historic brutality… and little more. If it weren't for Xin Zhao, Kled would bet everything on a final, bloody, battle.",kled_image.png
Kog'Maw ,Marksman Mage,"['Icathian Surprise', 'Caustic Spittle', 'Bio-Arcane Barrage', 'Void Ooze', 'Living Artillery']","The Zap'Maw is a curious monster that baffles even the most experienced of Tamers. Sightings are limited to abandoned ruins that only the bravest dare enter. But taming one is an even more challenging task. Only one Tamer has succeeded so far, their bond—and the Zap'Maw's lightning attacks—growing stronger each day.",kog-maw_image.png
LeBlanc ,Assassin Mage,"['Mirror Image', 'Sigil of Malice', 'Distortion', 'Ethereal Chains', 'Mimic']","Everyone shares spooky stories of LeBlanc, the host of this year's celebration! It's said she delights in causing misery; she can turn any Jack-o'-lantern's smile upside down. But there's a softer side to her as well, one she tries to keep hidden, even from herself.",leblanc_image.png
Lee Sin ,Fighter Assassin,"['Flurry', 'Sonic Wave', 'Resonating Strike', 'Safeguard', 'Iron Will', 'Tempest', 'Cripple', ""Dragon's Rage""]","Martial artist Lee Sin's focus on overwhelming his opponents before they could react had won him many championships, but also burned him out. Realizing that his strategy had been rooted in fear, he augments his body not to give himself more strength, but to concentrate his mind and senses.",lee-sin_image.png
Leona ,Tank Support,"['Sunlight', 'Shield of Daybreak', 'Eclipse', 'Zenith Blade', 'Solar Flare']","The Lady of House Solari lifts her chin against the scorching wind. Ahead lies her family's salvation: the Sulfur Rail, carrying the stolen family fortune, churning across the desert. The only thing that stands in her way is the Mechanical Devil himself. Her sword hums like cicadas in the gloaming. The butterflies gather. Time for the Harbingers to ride.",leona_image.png
Lillia ,Fighter Mage,"['Dream-Laden Bough', 'Blooming Blows', 'Watch Out! Eep!', 'Swirlseed', 'Lilting Lullaby']","Steward of nightmares, demon of dreams, Lillia revels in twisted fantasias that mortify mortal minds. Though she dallies in the war between order and chaos, she rarely joins the fray herself; she has a garden to tend to, after all, sowing seeds of terror and watching them bloom.",lillia_image.png
Lissandra ,Mage,"['Iceborn Subjugation', 'Ice Shard', 'Ring of Frost', 'Glacial Path', 'Frozen Tomb']","Brutal alien leader of the Harsh Vibes, Lissandra subjugates planets rich in The Groove for her own nefarious purposes—banning disco and steeping the entire galaxy in Muzak. She and her army of roller-skating derby goons will stop at nothing to eliminate disco forever. But for her latest scheme to work, she's going to need an invite to the disco to end all discos: The Jam.",lissandra_image.png
Lucian ,Marksman,"['Lightslinger', 'Piercing Light', 'Ardent Blaze', 'Relentless Pursuit', 'The Culling']","Lucian is the ace pilot of the Z01-Orion, assigned to the inaugural mission of Strike Team Hyperion: reclaiming the experimental X01-Butterfly from its turncoat thief, Kai'Sa. He may not always agree with Commander Camille's methods, or her morality, but they both know that rogue exosuits in the wrong hands would spell disaster for the galaxy.",lucian_image.png
Lulu ,Support Mage,"['Pix, Faerie Companion', 'Glitterlance', 'Whimsy', 'Help, Pix!', 'Wild Growth']","Though she's new to the scene, Lulu exemplifies what it means to be a Tamer. She's studied the CORE (Compact Object for Relay and Engagement) manual front to back. She's even used it in the field a few times! Her latest discovery: Zap'Maw, a creature as dangerous as it is adorable.",lulu_image.png
Lux ,Mage Support,"['Illumination', 'Light Binding', 'Prismatic Barrier', 'Lucent Singularity', 'Final Spark']","Forced to live in squalor and shame for her magical abilities, Lux ironically escaped certain death when her realm collapsed. Now with the raw power of the Foreglow, she's free. It doesn't matter that she's on her last legs: she intends to live and experience as much as she can before the fire consumes her.",lux_image.png
Malphite ,Tank Fighter,"['Granite Shield', 'Seismic Shard', 'Thunderclap', 'Ground Slam', 'Unstoppable Force']","Appearing to mortals as a Jet-Black Ibex, Malphite was an Old God of the mountain slain by the Eclipse order and cast down onto the rocks below. Death did not claim him, but the mountain did—and now he rises in its hulking earthen form, the land itself twisted with hatred and consumed by new and terrible hungers.",malphite_image.png
Malzahar ,Mage Assassin,"['Void Shift', 'Call of the Void', 'Void Swarm', 'Malefic Visions', 'Nether Grasp']","As the Order of Solace's leader, Malzahar wants to extend a gentle, guiding hand to all. It was only by following the tenets of the Three Honors that he was able to escape from a pit of cynicsim, and while apathy may reign supreme, Malzahar will do whatever it takes to build a better world.",malzahar_image.png
Maokai ,Tank Mage,"['Sap Magic', 'Bramble Smash', 'Twisted Advance', 'Sapling Toss', ""Nature's Grasp""]","The first tree to grow on planet M33P, Maokai gained sentience due to the latent power of the meeps that took up residence in his trunk. He now fosters life on this new home of his, collecting and caring for young meeps that could use a helping hand (or branch).",maokai_image.png
Master Yi ,Assassin Fighter,"['Double Strike', 'Alpha Strike', 'Meditate', 'Wuju Style', 'Highlander']","Yi arrives at the Spirit Blossom Fashion Festival, donning tinted shades and the finest fabrics. While others prefer to celebrate with close family and friends, Yi revels in the attention his outfit brings, intent to cement his style ""legacy"".",master-yi_image.png
Miss Fortune ,Marksman,"['Love Tap', 'Double Up', 'Strut', 'Make It Rain', 'Bullet Time']","Having wrestled control of the lion's share of sweets from ghastly spirits and unruly children alike, Miss Fortune now rules over the night. Her reign is one filled with revelry and mischief.",miss-fortune_image.png
Mordekaiser ,Fighter,"['Darkness Rise', 'Obliterate', 'Indestructible', ""Death's Grasp"", 'Realm of Death']","Few meet the Mechanical Devil and live to tell the tale. They describe a behemoth: all steel and gears, fueled by hellfire and fierce enough to scare a man's soul from his skin. He is the King of the Sulfur Rail, reigning over the train to Hell from a throne of stolen gold and infernal iron. Eternal, and unassailable.",mordekaiser_image.png
Morgana ,Mage Support,"['Soul Siphon', 'Dark Binding', 'Tormented Shadow', 'Black Shield', 'Soul Shackles']","A villainess of mysterious origins, Morgana believes that concepts like justice and order are holding the universe back... and she's willing to do anything to return it to a state of entropy. Targeting the Star Guardians for destruction, she torments them relentlessly before dealing the final, crushing blow.",morgana_image.png
Nami ,Support Mage,"['Surging Tides', 'Aqua Prison', 'Ebb and Flow', ""Tidecaller's Blessing"", 'Tidal Wave']","Nami has been serving up splashy looks at the Gala for a long time and has never been one to swim with the current trends. This season, she's showcasing her musical side, hoping to push the show to a new, groovier beat. With a stage as nice as the Gala's, why not dance on it?",nami_image.png
