Name,Type,Skills,Bio,File_name
Batman,['assassin'],"['Forearm Strike', 'Batarang', 'Dark Knight']","Batman has become a symbol of dark justice that hangs over Gotham City. Born into wealth as Bruce Wayne, he witnessed his parents murdered in front of him as a boy. This tragedy transformed his entire existence, reshaping him into the consummate crime-fighter. Wayne traveled the world for a decade, training his mind and body relentlessly, pushing himself to the limits of human capacity, all in preparation of donning the mantle of the caped crusader. His years of tremendous effort have left him as not only the world's greatest detective, but with a physical prowess that has yet to be bested by any foe.As Batman, he has consistently been forced into battle in an array of alternate worlds, dimensions and universes. And it was through a bruising encounter with Zephys that Batman pieced together the existence of Athanor. Zephys collided into Earth, bringing with him a power of unimaginable magnitude. He had come to subdue the earth and build a new world. One that would be subjugated by Athanor and be forced to provide fresh troops for its eternal war.During the tumult, Batman found himself chasing Zephys, passing through countless worlds and fragments of time. Finally catching up to him, Batman sought to end Zephys' dark plot right then and there. However, he just could not find an opening to end the fight. Suddenly, the hero Valhein appeared, under orders from Thane, to investigate the strange rumblings of doom. With his aid, Batman finally beat back Zephys and temporarily banished him back to his realm.Traveler, welcome to Athanor, Valhein whispered in a deep, but urgent voice. Batman felt drawn towards this mysterious new land, to understand just what sort of role it would play in his destiny. Stepping into the light, he found himself in Thane's court. The resplendent king sat high above the rest as a gloomy pall hung over the room. He thanked the Dark Knight for subduing Zephys and handed him a shining gem, a fragment of Andura.Upon touching the gem, Batman experienced a vision of fire and despair. Gotham lay in ruins, consumed by flames that licked the air. Its inhabitants were being led towards the darkness in chains. The old and feeble were disposed of. The young and strong were ripped away from their loved ones and cowed. And above all of this sat a malevolent shadow that seemed to glow brighter than the very flames swallowing the city. Then, at a snap of its immaterial fingers, the light extinguished, and life existed no more.Batman stood unmoving, transfixed in the horror. This isn't real, is it? were his only words. This must be some sort of trick. However, the solemn shake of Thane's head and his mournful eyes, brought ice into the Dark Knight's veins. Thoughts raced through Bruce's mind. What is this madness? What is this despair? Thane finally spoke It is what will come to pass, if we sit idle. He continued, The Andura fragment you hold must be returned whole. It has the power to create, and a devastating power to destroy. It matters not where your world lies in time and space, all is connected to Athanor.And with that, Batman felt himself hurdled back to Gotham, to ponder upon the choices that lay ahead. Then with quiet and steeled determination, he fought. With Lucius and Alfred's aid, he modified his armaments to prepare himself for the coming battle. His friends worried for him. They were unsure of the threats lying in wait for Bruce. But as we all know from experience, never underestimate the Batman.",Batman_image.jpg
Butterfly,['assassin'],"['Whirlwind', 'Sword Propel', 'Backstab']","“What should I do after the war is over?” On cold nights, Butterfly's sword emits a crimson light that radiates a sense of warmth.“Survival is never easy for people like me, the people who feed on dirt and blood. I have no time to think about anything else,” her cold voice scoffed from the shadows. Even after several straight days of fighting, Butterfly showed no sign of fatigue. As a well-trained mercenary, she is capable of retaining and recovering her stamina throughout an exhausting war.Butterfly was a code name given by her mercenary order. Unlike ordinary, freelance mercenaries, Butterfly was specially trained by the order. As the order's numbers grew, their requests became more complicated as well. Clients started demanding specific requirements of the mercenaries; they insisted on certain abilities, genders, ages, and even appearances. In response, the order assiduously trained Butterfly to cater to the ever-changing requests.According to her contract, Butterfly, as an orphan, was to be raised by the mercenary order and trained in combat. Growing up, she served as a contractor for the association, requiring her to surrender half of the bounty she earned from every assignment as repayment for the order's investment on her, at least until her debt was cleared.Thanks to her efficiency, competence, and the shortage of other female mercenaries, Butterfly was offered the job of protecting Astrid, the youngest daughter of the Duke of Rose. She had completed numerous similar assignments, most of which required her to accompany noblewomen to different events, offering protection while dressed as a servant.Had it not been such a high-paying assignment, she would have chosen a far more exciting task, like hunting a dragon from the abyss, or eliminating the leader of a group of bandits. Anything else seemed a better alternative to entertaining a bunch of socialites, spending the whole night listening to their trivial gossip.Strangely, the new assignment was not as boring as Butterfly had expected. In retrospect, she was thrilled, if not overwhelmed, by the experience, as she was sent to protect Astrid in a fight against the Lokheim army that had defeated Arduin and the Vedan knights.After the deaths of her father and brother, and the siege of her castle, the young Astrid led the Knights of Rose into battle in the name of the Rose family. Butterfly was hired to protect Astrid, and when the fighting had finally stopped, both were left wounded and scarred from days of battle.In fact, according to the regulations of the mercenary order, Butterfly was entitled to abandon the assignment according to the contract's clause regarding “Colossal Changes in Assignment Complexity.” But she carried on with her duties, protecting Astrid in the absence of the late Duke of Rose, who never thought his daughter would have to go to war. When Astrid raised her father's sword, “Embertrail,” Butterfly’s assignment became almost impossible.But Butterfly did not back down, not only because it was her duty, it was also how she worked.“The word 'flee' is not in my vocabulary.”",Butterfly_image.jpg
Chaugnar,['support'],"['Energy Surge', 'Shockwave', 'Chaos Protection']","I am chaos incarnate!Chaugnar was an ancient mammoth that was corrupted by the energy of chaos, which transformed him into his current monstrous form. The chaos had not only changed Chaugnar's appearance, but also warped his mind. In his eyes, existence was merely a constant battle between chaos and order. Life, rules, logic, emotions, and faith meant nothing to him.Any unfortunate souls to come before this sinister being would cower when struck with a feeling more terrifying than the mere meaning of the term. If it hadn't been for a gifted human, who lured Chaugnar into a trap and sealed him in the depths of the Black Sea, this world would have been lost long ago.Yet, the power of chaos could never be exterminated completely. All that a human could do is to fight to weaken Chaugnar, mitigating the threat he posed. However, everyone knew that Chaugnar would eventually break out from his shackles, and his fury would rain upon every corner of this world.I will make you watch as this world is devoured by chaos!",Chaugnar_image.jpg
Cresht,['tank'],"['Typhoon', 'Aquatic Shield', 'Metamorphosis']","Strength or death!Cresht, the Mermidon, frequently talked of the Boiling Sea from which he came from. However, when dealing with Cresht, one would do well to remember that this sea was not called so because of its temperature, but because of the constant chaos beneath its waters, and that he remained at the top of its food chain.Ancient records didn't contain much detail regarding Cresht's origins. The only relevant knowledge that man was able to garner came from a bard's song: A monstrosity rising from the sea's hungry depths; its trident so terrible it brings naught but death. In the War of Man and Beast, Cresht fought fearlessly on the front lines, endlessly tormenting the humans. Surprisingly, Cresht didn't return to the Boiling Sea after the war. Instead, he took it upon himself to pursue higher goals than just devouring the frail and weak.A battle between Gods and Demons must include Cresht!",Cresht_image.jpg
Diaochan,['mage'],"['Chilling Frost', 'Diamond Dust', 'Blizzard']","Diaochan came from very humble beginnings, but her ruthless ambition has taken her far. She was born to a simple handmaiden and was raised under the assumption that she would never exceed her mother’s standing in life. However, Diaochan was blessed with incredible beauty. As she came of age, she became very aware that she was more alluring than the beautiful fountains in the royal cities that she visited.While many men sought her out, even some who pledged to go on chivalric quests to win her hand, Diaochan mastered the art of restraint. She would eye the high lords and smile at them until they requested her service. Once there, she would flirt and tease just long enough to put herself in a position to extract maximum value from another.Eventually, this process left her in the service of a warlord. This warlord, always concerned with the next great conquest, had heard rumblings of a horrendous dragon laying waste to towns and wreaking havoc among the realm. If he could just find a way to defeat this dragon, his real power would be known. All of the other lords would not only praise him, they would also truly fear him. As he trained himself physically for the fight ahead, he gave his servants the task of finding out different ways of slaying the dragon.The warlord had inherited a tremendously well-stocked library, filled with volumes upon volumes of writings on every imaginable subject. Diaochan had been assigned to the magical arts section to scour for any information she could find on defeating a dragon. As she poured over the stacks of spells and potions, her interest in the subject took hold of her. She returned to the library day after day and practiced what she learned under the cover of night. She found herself to be a quick learner and was mastering advanced spells within a year. As she grew in skill, she grew further from her screwed past. She found a sense of peace and purpose on these pages and her newfound identity blossomed.As she neared the end of the library, the camp was attacked by a powerful warrior with dragon blood known as Lu Bu. He tore through the camp, raining terror upon the soldiers. He was outnumbered, but this did not matter; he was absorbed by rage and the outcome turned. Diaochan was curious about the power of this new challenger, and also felt her heart moved by the obvious pain he carried within him.After Lu Bu slew his last enemy, he was still consumed by anger; so much so that the very dragon powers within him failed to respond to his command. The vitriol within him would have taken his heart and devoured him, but a touch from Diaochan’s hand cooled the fires within. She had read about dragon magic in the library, and she knew the spell necessary to still the vengeful thunder within him. He fell in love with Diaochan the first moment he laid eyes on her, and she was fascinated by him.Together, Lu Bu and Diaochan traveled the realm, always by each other’s side. They dwelled in relative peace and for a time things were right and good. This time of tranquility came to an end when the Dragon Father, the very beast who had given Lu Bu his dragon powers, came for Lu Bu. He was furious that Lu Bu had abandoned his previous quest, and commanded that Lu Bu return to his service immediately.But Lu Bu would not leave Diaochan. This infuriated the Dragon Father and sealed the enmity between the two. They clashed in an epic conflict; a stalemate of great magical powers. But the battle turned when Diaochan gave her magic to Lu Bu, allowing him to reach a higher form and smite the Dragon Father.In doing so, Diaochan’s magic bonded with Lu Bu, so that the two are truly of one essence--fused together but not confused. Theirs is the greatest love in all of Athanor, and its power has healed the darkness of anger and vengeance from Lu Bu’s heart. In turn, through her connection with Lu Bu, Diaochan has discovered a great power that will one day define the history of Athanor.",Diaochan_image.jpg
Fennik,['marksman'],"[""Thief's Mark"", 'Rolling Lightning', 'Chain Hammer Cyclone']","“Trust me, thieving's a promising career!”Fennik believed that all professions had their values and reasons for existing. Which was why he stood by the belief that, since he was a thief, he should be the best of them all. Go big or go home, right? This was how Fennik became renowned in the field—his “masterpieces” included the Great Heist of the Luxis City Treasury and the Theft of the Secret Treasures of Fort Alchemy.It was one of Fennik’s principles to never leave empty-handed. He was not one to fail, whether when robbing a bank or simply picking some pockets on the street. Of course, if it turned out that his unfortunate target was dirt-poor, he would not only return what he had stolen afterwards but also add a little something to go with it, which was quite a pleasant surprise for the victim. “A charity act? Nah, I just want my piggies to be well-fed before I butcher ‘em,” Fennik would say. You see, Fennik’s second rule was to never leave the target without means to survive, and the first rule was to aid those in poverty so that they might have a good life someday. After all, the more rich people there were, the more targets to steal from, right? Fennik trusted that raising the life quality of the general public would surely lead to a broader scope of development for those of his trade, and pointlessly accumulating riches would only mean more competition in the thieving industry. “If we thieves become richer than everyone else, we won’t have any targets to steal from except each other, no?”A notorious scoundrel known by all on the Moonlit Plains, Fennik was in fact a better fighter than a strategist, which was saying something as he was quite the strategist. At a young age, he had already out-ranked many of his predecessors on the Wanted List of the Federation of the Free, and eventually even snagged the top spot on the ranking. Even the great Officer Locke couldn’t figure out what to do about him.“Jeez, relax! I’m here for the loot, not your life!”",Fennik_image.jpg
Gildur,['mage'],"['Siege', 'Extravagant', 'Indulgence']","Gildur once had more money than everyone. With assets all over the continent, his family crest sometimes carried more power than the King's order. His wealth earned him the title of The Gilded.But material wealth made Gildur feel emptier inside than ever. He tried to numb the emptiness with alcohol and the companionship of beautiful women, but that did not help. That was when the Temple of Light, advocating soul-cleansing, caught his attention.The ritualistic religion quickly filled the void inside Gildur, but being the calculative person that he is, Gildur realized that the fervor was not any different from his previous endeavors; he was in no hurry to leave though. After experiencing a religious life, he realized it could be potentially profitable. The hierarchy within the Temple gave him more reasons to seek power.His wealth quickly paved the way for him to rise through the hierarchy and become one of the most powerful men on the continent.My ambition for power is like a beast uncaged. I am not done.",Gildur_image.jpg
Grakk,['support'],"['Earthquake', ""Devil's Chain"", 'World Devourer']","Grakk was known for his brutality. As the executioner, he shackled imprisoned souls, and tore open the offending souls with his teeth to torture them. He had to pay a steep price for this though. The price was that he could no longer digest any food other than souls. He needed to devour souls to satisfy his constant hunger. To stave off hunger during times of peace, he had to ask for help from Zephys and Nakroth; the former harvested souls while the latter past judgment. All guilty souls became his food. After the war broke out, in return for Grakk's strength, Maloch promised Grakk that he could do whatever he wanted with the enemies he captured.The never-ending feast turned Grakk into a war maniac. With every fresh soul consumed, his power grew. He turned all of the things he could not eat into the Fallen to capture more food for him.I… hunger…",Grakk_image.jpg
Ignis,['mage'],"['Fire Crash', 'Rain of Fire', 'Holy Embers']","“The Holy Flame will lead us to the Kingdom of Truth.In the doctrine of the Veda, the Holy Flame was the symbol of light and truth. As the guardian of the Holy Flame, Ignis had long relied on his abundant knowledge and unwavering faith to lead the believers along the path of light. It was for this reason that he was widely known as the Guide. However, before all this, Ignis had been an ordinary Temple scholar.Obsessed with the pursuit of truth, Ignis spent all his time studying in the Veda's Tower of Contemplation. He read countless ancient texts, among which he discovered the long forgotten Holy Flame manipulation spells. Unfortunately, the Holy Flame burned out a century ago, making his discovery worthless. Everyone in the Temple lamented this fact, but Ignis was delighted, for his study of the Holy Flame had brought him one step closer to the Kingdom of Truth that he had dreamed of for so long.Although it could not be put into practice, Ignis' discovery sent shockwaves through the forces of darkness that lurked just out of sight. No one knew what would happen with his next discovery, and it might just break the balance between light and dark. Commanded by Volkath, the Dark Lord, the Demon Army mounted an attack on the Veda, during which the scorching flames of hell engulfed the Tower of Contemplation. Terrified, most of the scholars fled, but the resolute Ignis refused to leave, desperate to protect the precious texts.“If this is to be my fate, then bury me in the Kingdom of Truth along with all the precious knowledge! Death was right in front of him, but Ignis showed no fear. He trusted in his belief till the end, reciting a devout prayer again and again: “The darkness has come. I will sacrifice my body, my heart, my spirit, to bring the sparks of Veda back to the world and light the way!”As Ignis prayed, an orb of pure white flames appeared in his palm and reduced the Demons surrounding him to ashes. “Is...is this the power of the Anointed One?” Ignis wondered for a split second, but he did not remain confused for long. He began to chant the spell to control the Holy Flame—a spell that had long been ingrained in his brain. The flames transformed into a majestic wall that enveloped and protected the Tower of Contemplation. “Death for those that pass the barrier!” And so they did—Ignis stood powerful and resolute, glorious flames in his hand, voice echoing through the walls of the Sacred Mt. Orphean.“Are the seeds of Light Magic sprouting again?” Volkath, who was fighting Ilumia the Seer outside the Palace in the Clouds, noticed the strange phenomenon at the Tower of Contemplation and the sudden morale boost of the Veda troops. This was big—this was out of his control. As unhappy as he was about this, he had to give orders to retreat. That was how the Veda was saved once again.After the battle, Ignis returned to the Tower of Contemplation and continued his journey towards the truth.“Before the truth, the knowledge I possess is but a drop in the ocean.”",Ignis_image.jpg
Ilumia,['mage'],"['Divine Light', 'Banish', 'Cataclysm']","Ilumia had it all: beauty, intelligence, power, glory, and strength. Just as Maloch represented the dark power, Ilumia was the embodiment of light. No hero was above Ilumia. She never showed anyone her true self because she had a more important identity to assume: Goddess of Light.Her elegance, purity, and magic compelled people to believe that Ilumia was the Goddess that brought hope and light to the people. The Temple was founded and expanded on these beliefs. With a revered Goddess, the Temple firmly established the religion, which commanded its fearless followers to resist dark invasions.As the actual power wielder of the Temple, Ilumia knew how to play the game. She managed to wrestle the Temple free from the castle's rule and protect her followers' interests when Thane's power reached its pinnacle. Ilumia lived and breathed power, and she would never give it up willingly.",Ilumia_image.jpg
Jinnar,['mage'],"['Force Orbs', 'Resonance', 'Exuberance']","Embrace the cosmic void.To Jinnar, time is not linear but a matrix formed by countless strands of destiny. Touching any of the lines of fate can cause ripples in the destiny matrix, which in turns changes the person's past, present, and even future. When he was little, Jinnar did not realize the danger of his innate talent. He told everyone without reservation everything he saw, including the crimes that people had yet to commit, and their eventual deaths.At first, people paid no heed to what Jinnar said, until his prophecies started coming true, anxiety and disquiet developing among the crowd, that he was taken seriously. For heaven's sake, the boy is a demon! The inexplicable fear over time aroused begrudging wrath. Blinded by hatred, the people rallied and, led by the village elder, attempted to exorcise Jinnar of the evil inhabiting his body.Jinnar's powers left the people of his home shocked and startled. He was confined in a dungeon while they sought assistance from the provincial capital. Incarcerated and in despair, Jinnar had a vision: He was promoted to the altar as an acknowledgment of his unique talent. Fiddling gracefully the strands of destiny with his immaculate fingers, he was in control of the world.What a stunning talent! I can still feel the destiny ripples spreading from afar. All of a sudden, a ray of light lit up the dark dungeon. Echoing the corridor was a harmonious melody, composed by a gentle female voice, along with a brisk rhythm of high heels stepping on the stairs.What… The vibration of the destiny matrix has subsided. Jinnar once again found himself on the altar, and his fingertips were entwined by countless destiny strands, which triggered the tumbling of the matrix.My name is Ilumia. Maybe you've already heard of it, or maybe not. But it doesn't matter. What matters is that you can choose to yield before me, or to die. The gentle voice was heard again, but this time it was somewhat bitter.Who are you? How come I've never seen you in my vision? Not now or anytime in the future? The strands in the matrix were what Jinnar could see in his vision. However, even though Ilumia was standing in from of him, he could not envision her destiny. All he saw was a blazing beam of white light.We are on different levels. That's why you can't see me. Besides, you can't control your power well enough to even see your future. That's why you are trapped here. But don't worry, I'll teach you how to use this power, on condition that you make the right choice, of course.I'll yield! Jinnar answered in no time. Based on what he had seen, he was convinced that there was no point in defying Ilumia.A few days later, a holy fire blazed up to the sky and engulfed the dungeon. The village elder explained to the crowd that the inner demon had been suffocated in the flames. He walked towards the crowd, condoled with Jinnar's parents, and pretended not to realize the sense of relief on their faces.From that day onwards, the Holy Hall accommodated one more disciple, Jinnar, who practiced voiceless mantra. He was highly respected by the public. In order to show his determination, he asked Ilumia, the Goddess of Light, for a Voiceless Artifact, which he used as the core to forge a rare set of equipment, filling people with awe.The artifact was given to Jinnar on the pretense that it protected the untrained Jinnar and allowed him to communicate with others without speaking, as the parts of the artifact were able to emit the voice of Jinnar's soul through vibration. In fact, this artifact was the revised version of Sealing Formation, which ensured that Jinnar could not release his power before he fully mastered the destiny matrix. For the voiceless feature, it was just something Jinnar asked for and it had insignificant influence.Let none upset universal balance.",Jinnar_image.jpg
Kahlii,['mage'],"['Soul Summoning', 'Spiritual Blessing', 'Ethereal Pulse']","“The Tower of Souls exists for the salvation of the suffering spirits.”Kahlii, the Ghost Guardian, was a rather controversial Abyssal Lord. Once part of the Veda, she held the might and powers of blessing. Yet despite her untouchable position, she was humble and willing to dedicate all her time, patience and kindness to listen to the prayers of the believers in the Gospel Palace of the Sacred Mt. Orphean and do her best to soothe their wounded hearts and souls.Kahlii had seen too many shattered souls. It weighed heavily on her mind. “Master, how shall we relieve these tormented souls from their grief?” She often asked Edras, the Archmage of Veda and her favorite teacher. He was wise and powerful, and if anyone had the answer, it would be Edras.“When it comes to mortals, from birth to death, from happiness to grief, the Creator controls all. The mortals have to suffer to achieve innovation and change the world. This is the mission they’re born with, their destiny,” Edras would explain. This answer did not satisfy Kahlii. She couldn’t understand why these fragile Humans were given such a great yet heavy burden. All she could do was to try to help them with her limited powers.She was doubtful, she was lost. Volkath saw it all. The prisoner, kept by Edras in the Sacred Mt. Orphean, had yet to become the Dark Lord who ruled the Abyss, but was already as cunning as could be. He decided to bring Kahlii onto his side in order to escape from the clutches of Edras sooner and bring his rebellion into action more efficiently.“Time and space are both the origins of life. All beings in this world will cease to exist without the origins.”“Be it us, be it the mortals, no one would be able to escape the binds of the Order of the World. That’s where the origin comes from.”“But do remember—the powers that constitute the origin are not limited to just time and space.”“Light and darkness, too, are parts of the origin. These are powers that could bring us above the Order, so that we would no longer be bound.”“You know all about Light Magic. Naturally, you know that the essence of Light Magic is the control of the power of light.”“Wouldn’t you like to learn more about Dark Magic as well? If you have a good grasp of both, you’ll no longer be restricted by time and space. You’ll be able to do everything and anything.”“Such as...protecting those weak Humans.”What Volkath said was indeed appealing. Kahlii knew that there had to be a catch somewhere, yet the offer was impossible to refuse. She knew that the abyss lay right in front of her—yet she still jumped without an ounce of regret.“You’d better be telling the truth, or else, no matter what happens, I’ll find you and blast your head off!” Kahlii said. These were her last words as the Goddess of Blessings. Volkath was the only one who heard them.“As you wish, my Lady.” Volkath’s lips curved into an elegant smirk.From then on, the Veda lost a gentle, beautiful Goddess, while the Abyssal world gained a kind, peaceful Ghost Guardian. Legend had it that no matter how much you sinned, no matter what tortures you had been through, as long as you entered the Tower of Souls, you would be truly free.“I see the light.”",Kahlii_image.jpg
Kil'Groth,['warrior'],"['Sea Spear', 'Enraged Spear', 'Gore Lord']","The blood red sea roiled and boiled with fury.Kil'Groth was the ruler of the seas, where rage served as the only way to survive. Survival of the fittest was the normal natural order, but Kil'Groth's fanaticism stemmed from a complete disregard for balance in the food chain. The only thing he cared about was instilling the fury of killing in all sea creatures. As for what they killed, well, that was up to them.Relentless slaughter served as the source of power of Kil'Groth's rage. Fresh blood diffusing into the seas aroused swarms upon swarms of deep sea predators which then filled the gaps left in the food chain. Such intense rage power was intoxicating for the demons.Taara, commander of the Fallen, wielded her hammer like the coming of a cyclone. She used the power of absolute zero ice to freeze the ocean surface. The water, which was heated by fresh blood, cooled and even Kil'Groth felt the effects. His pride, however, did not allow him to flee a fight. His raging will blazed and freed Kil'Groth from his icy confines. He picked up his massive sea blade and began his last charge towards the intruder.Many hundreds died at Kil'Groth's hands, but, under the command of Taara, the flood of the Fallen drowned him like a massive tidal wave. When the bloody battle ended, the dying Kil'Groth lacked the strength to even hold his weapon. In fact, if Cresht hadn't led the beast army to the rescue, Kil'Groth may have died there and become a legend in his own right.However, Kil'Groth recovered from his wounds and ended up joining the Forest of Shadows array to show his gratitude as well as exact revenge. The furious Kil'Groth refused to follow orders from anyone. If any of the Fallen dared to insult him, his rage would finish them in an instant.",Kil'Groth_image.jpg
Kriknak,['assassin'],"['Terrifying Plague', 'Horn Rush', 'Drone Drop']","A messenger of death who lurks amongst the souls. An assassin who is concealed in the shadows.It was difficult to say if Kriknak belonged to the living or the dead, because this being roamed freely amidst tombs, absorbing power by sucking out the essence of rotten souls, and yet it also had a body of flesh and its own soul. Of course, Kriknak was not concerned by matters such as life or death. The only thing it cared about was the orders from its master, Marja the Ash Weaver.As Marja's devoted servant, there was nothing Kriknak was unwilling to do for its master. Even when it meant facing Claves Sancti in the hands of Thane himself, Kriknak stood strong in front of its master and used its proud horns to block any blow that came forth. These horns ended up being ruthlessly cleaved away by Thane, but Kriknak's loyalty was rewarded through Marja's trust and gifts.Marja, in turn, reluctantly pulled off a horn to treat Kriknak's severely depleted energies, and transplanted them by infusing it with powerful spiritual energy. As the new horns took hold, the souls of Kriknak and Marja converged completely.Even if they were separated by a thousand miles, Kriknak would always know what its master was thinking, and would spare no effort to complete any task it was assigned to.",Kriknak_image.jpg
Krixi,['mage'],"['Mischief', ""Nature's Wrath"", 'Moonfall']","We fairies of the forest are heralds of the Creator.Like other fairies, Krixi could often be found dancing in flowerbeds or playing with the animals. However, whenever danger draws near, Krixi's cruel side would emerge in full force. She would use her sharp fangs and claws to shred any demon who intrudes upon the forest.What really broke Krixi's heart was seeing the humans, whom she once considered her companions, destroying the forest for material wealth. Their armies were highly organized and armed to the teeth, so Krixi gathered the inhabitants of the forest in an effort to fight off the human invaders. The plan worked, and she was able to coerce the humans into signing a peace treaty.The forest quickly returned to its peaceful and serene state, but Krixi knew that the invaders' ambitions weren't much different from that of the demons. She began training wild creatures with human methods and formed her own powerful beast army in hopes to prevent future invasions!War has no other purpose than the destruction of life!",Krixi_image.jpg
Lauriel,['mage'],"['The Wheel', 'Blink', 'Smite']","Above the Heavens, she stands beside the throne of the Great Ones. Lauriel spreads her six majestic wings and soars.Lauriel was the guardian of the Temple of Light and the spiritual leader of its followers. Devoted to her task, she kept an endless vigil within the Temple directing her power against the encroachment of darkness. She devoutly obeyed the words of the Great Ones and was thereby imbued with their almighty power. She was their herald, spreading  truth to the Great One's followers, in whose eyes, she was the embodiment of their Grace and Righteousness.The sincerity of Lauriel's belief gave her unrivaled power and, for a while, wielded control over reincarnation itself. During that time, the rebirth, resurrection, and guidance of souls through reincarnation were all under Lauriel's control. The flapping of her wings would bring new life into being, while the closing of her wings would throw life into yet another cycle of toil.While doing battle with the army of the Fallen, the followers once witnessed Lauriel spreading her wings and charging the enemy ranks. The lightning she summoned arched and sliced through the demonic horde in a single blow. The forces under her command were then fearless in their mission of vanquishing the army of the Fallen.I will blow the horn of judgment at the end of days!",Lauriel_image.jpg
Liliana,['mage'],"['Shining Light', 'Blinding Light', 'Unpredictable']","For thousands of years, Liliana had traveled to every corner of the world.One of the most ancient existences in Athanor, Liliana was born when the world was still in Chaos and all living beings survived purely through instinct. Full of curiosity, Liliana forged her own path of exploration in the chaotic world, continuing to seek for the essence of the universe and the source of power. She wanted to learn about the past and the future, the beginning of life and the meaning of death. In order to succeed in her quest for answers, Liliana morphed into different forms and saw life through the eyes of different species. A Nine-tailed Fox was the first sentient being Liliana came across. She considered the Fox her master and consultant, and was influenced so much by the creature that she identified herself as a Nine-tailed Fox thereafter. Through the instruction of her master and what she saw during her own travels, Liliana soon became quite knowledgeable. However, she understood that she still had a long way to go in terms of finding the ultimate answer to all things. She chose to live in seclusion, taking her time to slowly digest and ponder over all she had learned. Still, she would emerge from solitude every few hundred years to accumulate more wisdom and insight.During her previous journey, Liliana came in contact with Humans and was able to observe them up close. Humans seemed dull and average at best in all aspects, including powers, spirituality and constitution, which was why Liliana used to not have any interest in the species. Yet after she learned more about the thirst Humans had for knowledge and the ways they passed down their legacies, she soon became fascinated by their out-of-the-box thinking and began following their innovations and developments closely. Whenever Humans made huge leaps, Liliana transformed into one of them in order to learn from Human scholars.During the Dark Era, Humans were often attacked by Abyssal Beings. Not wanting to just sit back and watch the suffering, Liliana used subtle methods to reveal hints and tips on wielding magic here and there to aid Humans during the troubling period. From her observations, she predicted that if Humans survived this time of darkness, they would likely be able to create a civilization never seen before, in which new knowledge and new skills would be born, bringing her one more step closer to the ultimate answer she was seeking. She considered the aid she offered Humans a kind of investment—after all, if it helped her get what she wanted, why not? With a smile and high hopes for the future, Liliana went back into hiding.Some hundred years later, when Liliana returned to Human civilization once again, she was shocked to say the least. The candles and fireplaces she was used to were replaced by crystal lamps carved with magical arrays, capable of bringing light to thousands of families at once. The blades and swords she once knew were no longer used by many—instead, Humans Warriors now favored sleek and incredibly powerful mechanical guns and cannons. These improvements, which Humans called “technology”, completely changed how Liliana saw the world.It was an ideal turn of events for Liliana, who was eager to gobble up all new developments available. But even one with her level of wisdom would need dozens, even hundreds of years to digest all this—not to mention that new inventions were popping up practically every day! Therefore Liliana decided to transform into a Human and join the Empirical Army as a Communications Officer, who had the freedom to roam the Continent and collect intelligence. Her role would make it very convenient for her to achieve all she wanted. Of course, it did bring her new enemies as well, but Liliana didn’t mind doing Humans a favor by taking out these nuisances. “That’ll just count as part of my tuition!”",Liliana_image.jpg
Lindis,['marksman'],"['Piercing Gaze', 'Entrapment', 'Lunar Champion']","The silver moon shines eternal.Hidden among the population of the Afata, there is a small tribe who worships the moon. Every thirty years, a young woman is chosen to wield the full power of the moon and become the tribe's guardian priestess. As the time for selecting the chosen one neared, Lindis and Luna were deemed the two most promising candidates as they had displayed the greatest potential for developing their abilities and controlling the full power of the moon.But Lindis knew her chances were slim. Luna, her sister, outshone her in every way. She was talented, smart, beautiful, and held in high regard by their peers. Meanwhile, Lindis merely stood in her shadow, unnoticed and overlooked.Lindis bore her sister no ill will, however. She loved her sister and admired her beauty. And, in return, Luna lavished her normally quiet and reserved little sister with love. Their bond was incredibly strong, and as time passed, the two sisters developed a psychic connection with one another. Lindis was content just being Luna's little sister. She had no sense of jealousy as all she wanted was for Luna to become the tribe's priestess.Sadly, that heartfelt wish would soon be dashed. Mganga the Unspeakable had quietly maneuvered his way into the tribe. He began to work his charm on Lindis, plying her with sweet lies and luring her into his trap.Just as he was prepared to start siphoning away Lindis' power, Luna, sensing her sister's predicament, came to the rescue. Yet, she was not powerful enough to defeat Mganga alone. As Lindis returned to her senses, she was overcome with both guilt and despair. I'll take both your powers! Mganga exclaimed with delight and avarice.I won't dare let you! shouted Luna. And with all her might, Luna released a bright burst of energy that drew out the full power in both sisters, melding their souls together inextricably. You... What have you done?! You would sacrifice your own life and existence for her?! an enraged and distraught Mganga roared as he tried to stop the fusion. But there was little he could do to stop the fully realized potential of the silver moon.Under the light of the silver moon, Luna grew ever weaker while her energy brought Lindis back from the brink of death. Lindis, I'm so proud of you, was all that was said before Luna's physical presence faded, signaling the completion of their union. In a fit of anguish, Lindis fired a deadly arrow from her crossbow towards Mganga. She could sense Luna's soul within her as she raised her weapon, calling upon the full power of the silver moon together. Badly wounded and defeated, Mganga fled and never returned.Luna, I promise you. I will defend our tribe to the bitter end.",Lindis_image.jpg
